event_time,label,term,coef,se,ci_low,ci_high,p_value,is_lead,is_base,pct_effect
-12,<= -12,et_m12,0.03638908282406689,0.013261715195833643,0.010396598667005399,0.06238156698112837,0.006071036919222285,True,False,3.7059269952742335
-11,-11,et_m11,0.03102997544385206,0.011432479695590522,0.008622726986509198,0.05343722390119492,0.0066437112707967965,True,False,3.1516423585742137
-10,-10,et_m10,0.029432557976268092,0.011307430206005135,0.0072704020147977035,0.051594713937738484,0.009242823281692274,True,False,2.9869976614291582
-9,-9,et_m9,0.02559111659591003,0.010629297901925119,0.004758075527189636,0.04642415766463043,0.01605768537540525,True,False,2.592138047571435
-8,-8,et_m8,0.01647164105891208,0.009419539225218676,-0.00199031657347885,0.03493359869130301,0.08034853027054707,True,False,1.660804644955971
-7,-7,et_m7,0.014419928349675953,0.008605981167050478,-0.002447484789372966,0.031287341488724876,0.09382234698328,True,False,1.4524397056249638
-6,-6,et_m6,0.014597062454483778,0.008124843262676762,-0.0013273377203955813,0.030521462629363137,0.07239974962011757,True,False,1.4704119844175523
-5,-5,et_m5,0.012643409975487026,0.007984520596882504,-0.003005962828220937,0.02829278277919499,0.11330978261774158,True,False,1.2723675804603651
-4,-4,et_m4,0.0028777375433811647,0.0025744096727901753,-0.0021680126967391243,0.007923487783501455,0.26364206538219237,True,False,0.2881882204861075
-3,-3,et_m3,-0.002330374016525206,0.0035483631605176826,-0.009285038015208583,0.00462428998215817,0.5113441235754022,True,False,-0.23276608030067258
-2,-2,et_m2,-0.0009264769640892068,0.0011294878840921766,-0.003140232537884224,0.0012872786097058104,0.41206627302427157,True,False,-0.09260479168177183
-1,-1 (base),(omitted),0.0,0.0,0.0,0.0,,True,True,0.0
0,+0,et_p0,-0.003753176889057963,0.0017394957143686302,-0.007162525840482251,-0.0003438279376336748,0.03095711350481416,False,False,-0.3746142523835094
1,+1,et_p1,-0.00421511238672005,0.003933938833288703,-0.011925490817349428,0.003495266043909328,0.28395644553216604,False,False,-0.42062412691331597
2,+2,et_p2,-0.006842740479430565,0.0026701721997985377,-0.012076181823555788,-0.0016092991353053414,0.01038740515016357,False,False,-0.681938223928813
3,+3,et_p3,-0.009924515296720811,0.003920478120414087,-0.01760851121490971,-0.002240519378531915,0.011359027978909704,False,False,-0.9875429812206349
4,+4,et_p4,-0.015457551763593869,0.005285137659169207,-0.02581623122890184,-0.005098872298285897,0.003447654552992661,False,False,-1.5338696999592116
5,+5,et_p5,-0.013505256672258594,0.00496944786987453,-0.02324519552026196,-0.0037653178242552255,0.006574587997392663,False,False,-1.3414469852685462
6,+6,et_p6,-0.009754133366842166,0.0055259365910208655,-0.020584770066095104,0.001076503332410772,0.07753775678104467,False,False,-0.9706716104642021
7,+7,et_p7,-0.010438927026568531,0.005598974237081001,-0.02141271488161492,0.0005348608284778573,0.062260554049090575,False,False,-1.0384630524483018
8,+8,et_p8,-0.013699967797071055,0.006472519872674046,-0.026385873636731963,-0.0010140619574101478,0.03429076252488806,False,False,-1.3606550330274358
9,+9,et_p9,-0.012763450687481191,0.006871786389350186,-0.026231904520060093,0.0007050031450977108,0.06325851500971896,False,False,-1.2682343287566233
10,+10,et_p10,-0.012627114450596388,0.007234917191751962,-0.0268072915775599,0.0015530626763671247,0.0809323378963667,False,False,-1.2547726937305326
11,+11,et_p11,-0.01252710531522613,0.007614532821026257,-0.02745131540353577,0.002397104773083511,0.09993734795079508,False,False,-1.244896775092874
12,+12,et_p12,-0.013965925844390492,0.008734811664075776,-0.03108584211771939,0.0031539904289384045,0.10984700999401652,False,False,-1.386885472350885
13,+13,et_p13,-0.016195499115979985,0.009326648007149512,-0.0344753933064753,0.0020843950745153272,0.08247972917960725,False,False,-1.6065057160396967
14,+14,et_p14,-0.01594146906899574,0.009623939894657475,-0.034804044651902594,0.0029211065139111113,0.09763295508750512,False,False,-1.581507637066637
15,+15,et_p15,-0.016763498549514384,0.009935458091498131,-0.03623663857875778,0.0027096414797290157,0.09155728561783832,False,False,-1.6623772960414285
16,>= 16,et_p16,-0.03479684080394252,0.020241509384225413,-0.07446947018975386,0.004875788581868816,0.0855992046899346,False,False,-3.4198392193974025
